name,market_value_21,world_rank_21,market_value_20,world_rank_20,country,ceo,website,sector,employee_count,annual_revenue,annual_net_income,stock_exchange,stock_category,description
DUSIT THANI FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.102 Billion USD,18101,0.102 Billion USD,18101,Thailand,,http://www.dtcreit.com/,Real Estate,,,,Thailand,,
S 11 GROUP PUBLIC COMPANY,0.144 Billion USD,16787,0.144 Billion USD,16787,Thailand,,http://www.sgroup.co.th/,Industries,,,,Thailand,,
AMATA VN PUBLIC COMPANY,0.171 Billion USD,16113,0.171 Billion USD,16113,Thailand,,http://www.amatavn.com/,Real Estate,,,,Thailand,,
LAM SOON (THAILAND) PUBLIC COMPANY,0.129 Billion USD,17228,0.129 Billion USD,17228,Thailand,,http://www.lamsoon.co.th/,Consumer Defensive; Food Products,,,,Thailand,,Produces refined oil. Headquarters is in Thailand.
SIAM PAN GROUP PUBLIC COMPANY,0.198 Billion USD,15542,0.198 Billion USD,15542,Thailand,,https://www.siampangroup.com/en,Basic Materials; Chemicals,,,,Thailand,,
THAICOM PUBLIC COMPANY,0.387 Billion USD,12463,0.387 Billion USD,12463,Thailand,,https://www.thaicom.net/,Technology,,,,Thailand,,
ZEN CORPORATION GROUP PUBLIC COMPANY,0.109 Billion USD,17846,0.109 Billion USD,17846,Thailand,,https://www.zengroup.co.th/,Consumer Cyclical; Restaurants,,,,Thailand,,
THAI METAL DRUM MANUFACTURING PUBLIC COMPANY,0.116 Billion USD,17625,0.116 Billion USD,17625,Thailand,,http://www.thaimetaldrum.com/,Consumer Cyclical; Packaging,,,,Thailand,,
RAIMON LAND PUBLIC COMPANY,0.090 Billion USD,18598,0.090 Billion USD,18598,Thailand,,http://www.raimonland.com/,Real Estate,,,,Thailand,,
AMATA SUMMIT GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.122 Billion USD,17436,0.122 Billion USD,17436,Thailand,,,Real Estate,,,,Thailand,,
AMARIN PRINTING AND PUBLISHING PUBLIC COMPANY,0.140 Billion USD,16881,0.140 Billion USD,16881,Thailand,,http://www.amarin.co.th/,Communication Services; Publishing,,,,Thailand,,
LANNA RESOURCES PUBLIC COMPANY,0.130 Billion USD,17203,0.130 Billion USD,17203,Thailand,,http://www.lannar.com/,Energy; Coal Mining,,,,Thailand,,
SENA DEVELOPMENT PUBLIC COMPANY,0.160 Billion USD,16373,0.160 Billion USD,16373,Thailand,,http://www.sena.co.th/,Real Estate,,,,Thailand,,
EKACHAI MEDICAL CARE PUBLIC COMPANY,0.099 Billion USD,18215,0.099 Billion USD,18215,Thailand,,https://www.ekachaihospital.com/en/,Healthcare,,,,Thailand,,
MURAMOTO ELECTRON (THAILAND) PUBLIC COMPANY,0.141 Billion USD,16865,0.141 Billion USD,16865,Thailand,,https://www.metco.co.th/,Technology; Electronics; Capital Goods,,,,Thailand,,
MONO TECHNOLOGY PUBLIC COMPANY,0.280 Billion USD,14009,0.280 Billion USD,14009,Thailand,,https://www.mono.co.th/,Communication Services; Entertainment,,,,Thailand,,
ADVANCED INFORMATION TECHNOLOGY PUBLIC COMPANY,0.109 Billion USD,17847,0.109 Billion USD,17847,Thailand,,http://www.ait.co.th/,Technology; Software and IT,,,,Thailand,,
UNION AUCTION PUBLIC COMPANY,0.178 Billion USD,15986,0.178 Billion USD,15986,Thailand,,http://www.union-auction.com/,Consumer Cyclical; Retail,,,,Thailand,,
MAYBANK KIM ENG SECURITIES (THAILAND) PUBLIC COMPANY,0.168 Billion USD,16194,0.168 Billion USD,16194,Thailand,,https://www.maybank-ke.co.th/en/,"Financial Services; Banking Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
S & J INTERNATIONAL ENTERPRISES PUBLIC COMPANY,0.205 Billion USD,15400,0.205 Billion USD,15400,Thailand,,https://snjinter.com/,Consumer Defensive; Cosmetics; FMCG,,,,Thailand,,
TIPCO FOODS PUBLIC COMPANY,0.115 Billion USD,17659,0.115 Billion USD,17659,Thailand,,http://www.tipco.net/,Consumer Defensive; Non-Alcoholic Beverages; Beverages,,,,Thailand,,
SAHACOGEN (CHONBURI) PUBLIC COMPANY,0.111 Billion USD,17785,0.111 Billion USD,17785,Thailand,,http://www.sahacogen.com/,Utilities; Electric Utilities,,,,Thailand,,
ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY,0.153 Billion USD,16527,0.153 Billion USD,16527,Thailand,,https://www.asiaplusgroup.co.th/,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
THAI WAH PUBLIC COMPANY,0.005 Billion USD,,0.005 Billion USD,,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
NUSASIRI PUBLIC COMPANY,0.074 Billion USD,19311,0.074 Billion USD,19311,Thailand,,,Real Estate,,,,Thailand,,
RATCHAPHRUEK HOSPITAL PUBLIC COMPANY,0.100 Billion USD,18175,0.100 Billion USD,18175,Thailand,,http://www.rph.co.th/,Healthcare,,,,Thailand,,
MAJOR CINEPLEX LIFESTYLE LEASEHOLD PROPERTY FUND,0.086 Billion USD,18758,0.086 Billion USD,18758,Thailand,,,Real Estate; Retail,,,,Thailand,,
COUNTRY GROUP HOLDINGS PUBLIC COMPANY,0.092 Billion USD,18504,0.092 Billion USD,18504,Thailand,,http://www.cgholdings.co.th/en,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
PYLON PUBLIC COMPANY,0.097 Billion USD,18301,0.097 Billion USD,18301,Thailand,,https://www.pylon.co.th/en,Industries; Construction,,,,Thailand,,
AMANAH LEASING PUBLIC COMPANY,0.130 Billion USD,17208,0.130 Billion USD,17208,Thailand,,http://www.amanah.co.th/,Financial Services,,,,Thailand,,
SRIVICHAIVEJVIVAT PUBLIC COMPANY,0.139 Billion USD,16908,0.139 Billion USD,16908,Thailand,,https://www.vichaivej.com/,Healthcare,,,,Thailand,,
LADPRAO GENERAL HOSPITAL PUBLIC COMPANY,0.111 Billion USD,17779,0.111 Billion USD,17779,Thailand,,http://www.ladpraohospital.com/,Healthcare,,,,Thailand,,
EASTERN PRINTING PUBLIC COMPANY,,,,,Thailand,,,Industries,,,,Thailand,,
JUBILEE ENTERPRISE PUBLIC COMPANY,0.125 Billion USD,17339,0.125 Billion USD,17339,Thailand,,http://www.shopping.jubileediamond.co.th/,Consumer Cyclical,,,,Thailand,,
SAHAMITR PRESSURE CONTAINER PUBLIC COMPANY,0.185 Billion USD,15812,0.185 Billion USD,15812,Thailand,,http://www.smpcplc.com/,Industries; Metal Fabrication Products,,,,Thailand,,
A.J. PLAST PUBLIC COMPANY,0.265 Billion USD,14239,0.265 Billion USD,14239,Thailand,,https://www.ajplast.co.th/,Consumer Cyclical; Packaging,,,,Thailand,,
M.K. REAL ESTATE DEVELOPMENT PUBLIC COMPANY,0.114 Billion USD,17694,0.114 Billion USD,17694,Thailand,,http://www.mk.co.th/,Real Estate,,,,Thailand,,
TTCL PUBLIC COMPANY,0.099 Billion USD,18205,0.099 Billion USD,18205,Thailand,,https://www.ttcl.com/,Industries; Construction,,,,Thailand,,
THAI PLASPAC PUBLIC COMPANY,0.138 Billion USD,16959,0.138 Billion USD,16959,Thailand,,http://www.thaiplaspac.com/,Consumer Cyclical; Packaging,,,,Thailand,,
THAI STEEL CABLE PUBLIC COMPANY,0.101 Billion USD,18141,0.101 Billion USD,18141,Thailand,,http://www.thaisteelcable.com/,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
INOUE RUBBER (THAILAND) PUBLIC COMPANY,0.096 Billion USD,18333,0.096 Billion USD,18333,Thailand,,http://www.ircthailand.com/,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
CHAYO GROUP PUBLIC COMPANY,0.193 Billion USD,15631,0.193 Billion USD,15631,Thailand,,http://www.chayo555.com/,Financial Services,,,,Thailand,,
DOD BIOTECH PUBLIC COMPANY,0.120 Billion USD,17524,0.120 Billion USD,17524,Thailand,,http://www.dodbiotech.com/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
THAI OPTICAL GROUP PUBLIC COMPANY,0.056 Billion USD,20295,0.056 Billion USD,20295,Thailand,,,Healthcare; Medical Equipment,,,,Thailand,,
ROYAL ORCHID HOTEL (THAILAND) PUBLIC COMPANY,,,,,Thailand,,,Consumer Cyclical,,,,Thailand,,
BURIRAM SUGAR PUBLIC COMPANY,0.083 Billion USD,18891,0.083 Billion USD,18891,Thailand,,http://www.buriramsugar.com/en,Consumer Defensive; Sugar; Chocolate & Confectionery,,,,Thailand,,
QUALITY HOUSES HOTEL AND RESIDENCE FREEHOLD AND LEASEHOLD PROPERTY FUND,0.068 Billion USD,19607,0.068 Billion USD,19607,Thailand,,,Real Estate,,,,Thailand,,
TRIPLE I LOGISTICS PUBLIC COMPANY,0.129 Billion USD,17216,0.129 Billion USD,17216,Thailand,,https://www.iii-logistics.com/,Industries; Logistics,,,,Thailand,,
LOXLEY PUBLIC COMPANY,0.074 Billion USD,19329,0.074 Billion USD,19329,Thailand,,,Industries,,,,Thailand,,
SRI PANWA HOSPITALITY REAL ESTATE INVESTMENT TRUST,0.074 Billion USD,19333,0.074 Billion USD,19333,Thailand,,,Real Estate,,,,Thailand,,
MILLIONAIRE PROPERTY FUND,,,,,Thailand,,,Real Estate,,,,Thailand,,
BJC HEAVY INDUSTRIES PUBLIC COMPANY,0.086 Billion USD,18747,0.086 Billion USD,18747,Thailand,,http://www.bjc1994.com/,Industries; Construction,,,,Thailand,,
SYNTEC CONSTRUCTION PUBLIC COMPANY,0.078 Billion USD,19116,0.078 Billion USD,19116,Thailand,,,Industries; Construction,,,,Thailand,,
T.K.S. TECHNOLOGIES PUBLIC COMPANY,0.093 Billion USD,18451,0.093 Billion USD,18451,Thailand,,http://www.tks.co.th/,Industries,,,,Thailand,,
MAHACHAI HOSPITAL PUBLIC COMPANY,0.102 Billion USD,18120,0.102 Billion USD,18120,Thailand,,http://www.mahachaihospital.com/,Healthcare,,,,Thailand,,
SUSCO PUBLIC COMPANY,0.098 Billion USD,18272,0.098 Billion USD,18272,Thailand,,http://www.susco.co.th/,Energy; Oil and Gas,,,,Thailand,,
JKN GLOBAL MEDIA PUBLIC COMPANY,0.139 Billion USD,16903,0.139 Billion USD,16903,Thailand,,http://www.jknglobal.com/,Communication Services; Broadcasting,,,,Thailand,,
ASIAN INSULATORS PUBLIC COMPANY,0.185 Billion USD,15839,0.185 Billion USD,15839,Thailand,,http://www.asianinsulators.com/,Technology; Electronics; Capital Goods,,,,Thailand,,
TORAY TEXTILES (THAILAND) PUBLIC COMPANY,0.100 Billion USD,18177,0.100 Billion USD,18177,Thailand,,https://www.toray.co.th/en/,Consumer Cyclical; Textile,,,,Thailand,,
AIKCHOL HOSPITAL PUBLIC COMPANY,0.071 Billion USD,19447,0.071 Billion USD,19447,Thailand,,,Healthcare,,,,Thailand,,
REGIONAL CONTAINER LINES PUBLIC COMPANY,0.392 Billion USD,12377,0.392 Billion USD,12377,Thailand,,https://www.rclgroup.com/,Industries; Shipping,,,,Thailand,,
VERANDA RESORT PUBLIC COMPANY,0.066 Billion USD,19719,0.066 Billion USD,19719,Thailand,,,Consumer Cyclical,,,,Thailand,,
LAND AND HOUSES FREEHOLD AND LEASEHOLD PROPERTY FUND,0.059 Billion USD,20129,0.059 Billion USD,20129,Thailand,,,Real Estate,,,,Thailand,,
TAPACO PUBLIC COMPANY,0.033 Billion USD,21936,0.033 Billion USD,21936,Thailand,,,Real Estate,,,,Thailand,,
ASIA PRECISION PUBLIC COMPANY,0.114 Billion USD,17707,0.114 Billion USD,17707,Thailand,,http://www.asiaprecision.com/,Industries; Metal Fabrication Products,,,,Thailand,,
BANGKOK DEC-CON PUBLIC COMPANY,0.068 Billion USD,19631,0.068 Billion USD,19631,Thailand,,,Consumer Cyclical,,,,Thailand,,
BUAKAEW INCOME FUND,0.068 Billion USD,19638,0.068 Billion USD,19638,Thailand,,,Consumer Cyclical,,,,Thailand,,
SNC FORMER PUBLIC COMPANY,0.115 Billion USD,17676,0.115 Billion USD,17676,Thailand,,http://www.sncformer.com/,Technology; Electronics; Capital Goods,,,,Thailand,,
FORTUNE PARTS INDUSTRY PUBLIC COMPANY,0.073 Billion USD,19380,0.073 Billion USD,19380,Thailand,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
THAI REINSURANCE PUBLIC COMPANY,0.179 Billion USD,15966,0.179 Billion USD,15966,Thailand,,https://www.thaire.co.th/,Financial Services; Insurance,,,,Thailand,,
AMA MARINE PUBLIC COMPANY,0.091 Billion USD,18543,0.091 Billion USD,18543,Thailand,,http://www.amamarine.co.th/,Industries; Shipping,,,,Thailand,,
PRE-BUILT PUBLIC COMPANY,0.083 Billion USD,18873,0.083 Billion USD,18873,Thailand,,https://www.prebuilt.co.th/,Industries; Construction,,,,Thailand,,
T.A.C. CONSUMER PUBLIC COMPANY,0.121 Billion USD,17470,0.121 Billion USD,17470,Thailand,,http://www.tacconsumer.com/,Consumer Defensive; Non-Alcoholic Beverages; Beverages,,,,Thailand,,
CROWN SEAL PUBLIC COMPANY,0.092 Billion USD,18494,0.092 Billion USD,18494,Thailand,,http://www.crownseal.co.th/,Consumer Cyclical; Packaging,,,,Thailand,,
GRANDE ASSET HOTELS AND PROPERTY PUBLIC COMPANY,0.064 Billion USD,19852,0.064 Billion USD,19852,Thailand,,,Real Estate,,,,Thailand,,
KRUNGTHAI CAR RENT AND LEASE PUBLIC COMPANY,0.075 Billion USD,19293,0.075 Billion USD,19293,Thailand,,,Industries,,,,Thailand,,
SIS DISTRIBUTION (THAILAND) PUBLIC COMPANY,0.202 Billion USD,15459,0.202 Billion USD,15459,Thailand,,https://www.sisthai.com/,Technology,,,,Thailand,,
THAI NIPPON RUBBER INDUSTRY PUBLIC,0.134 Billion USD,17087,0.134 Billion USD,17087,Thailand,,http://www.tnrcondom.com/,Consumer Defensive; Rubber Products; Lubricants,,,,Thailand,,
INTERLINK TELECOM PUBLIC COMPANY,0.091 Billion USD,18540,0.091 Billion USD,18540,Thailand,,http://www.interlinktelecom.co.th/,Communication Services,,,,Thailand,,
MAJOR DEVELOPMENT PUBLIC COMPANY,0.046 Billion USD,20918,0.046 Billion USD,20918,Thailand,,,Real Estate,,,,Thailand,,
NIRVANA DAII PUBLIC COMPANY,0.098 Billion USD,18277,0.098 Billion USD,18277,Thailand,,http://www.daiigroup.com/,Real Estate,,,,Thailand,,
RICH SPORT PUBLIC COMPANY,0.040 Billion USD,21367,0.040 Billion USD,21367,Thailand,,,Consumer Cyclical; Footwear,,,,Thailand,,
WP ENERGY PUBLIC COMPANY,0.074 Billion USD,19338,0.074 Billion USD,19338,Thailand,,,Utilities; Gas Utilities,,,,Thailand,,
MUDMAN PUBLIC COMPANY,0.079 Billion USD,19065,0.079 Billion USD,19065,Thailand,,,Consumer Cyclical; Restaurants,,,,Thailand,,
AIM COMMERCIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.057 Billion USD,20218,0.057 Billion USD,20218,Thailand,,,Real Estate,,,,Thailand,,
SCAN INTER PUBLIC COMPANY,0.068 Billion USD,19603,0.068 Billion USD,19603,Thailand,,,Utilities; Gas Utilities,,,,Thailand,,
M PICTURES ENTERTAINMENT PUBLIC COMPANY,0.090 Billion USD,18597,0.090 Billion USD,18597,Thailand,,https://investor.mpictures.co.th/,Communication Services; Entertainment,,,,Thailand,,
EXOTIC FOOD PUBLIC COMPANY,0.166 Billion USD,16237,0.166 Billion USD,16237,Thailand,,http://www.exoticfoodthailand.com/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
BROOKER GROUP PUBLIC COMPANY,0.089 Billion USD,18615,0.089 Billion USD,18615,Thailand,,http://www.brookergroup.com/,Financial Services,,,,Thailand,,
THAI RUNG UNION CAR PUBLIC COMPANY,0.074 Billion USD,19343,0.074 Billion USD,19343,Thailand,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
BUSINESS ONLINE PUBLIC COMPANY,0.181 Billion USD,15915,0.181 Billion USD,15915,Thailand,,https://www.bol.co.th/,Industries; Consulting Services,,,,Thailand,,
ROYAL CERAMIC INDUSTRY PUBLIC COMPANY,0.077 Billion USD,19179,0.077 Billion USD,19179,Thailand,,,Industries,,,,Thailand,,
KING WAI GROUP (THAILAND) PUBLIC COMPANY,0.051 Billion USD,20609,0.051 Billion USD,20609,Thailand,,,Consumer Cyclical,,,,Thailand,,
THAI SUGAR TERMINAL PUBLIC COMPANY,0.086 Billion USD,18733,0.086 Billion USD,18733,Thailand,,http://www.tstegroup.com/,Consumer Defensive; Sugar,,,,Thailand,,
ASIAN SEA CORPORATION PUBLIC COMPANY,0.174 Billion USD,16047,0.174 Billion USD,16047,Thailand,,http://www.asiansea.co.th/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
BANGKOK RANCH PUBLIC COMPANY,0.071 Billion USD,19466,0.071 Billion USD,19466,Thailand,,,Consumer Defensive,,,,Thailand,,
CHAROONG THAI WIRE & CABLE PUBLIC COMPANY,0.090 Billion USD,18584,0.090 Billion USD,18584,Thailand,,http://www.ctw.co.th/,Industries,,,,Thailand,,
ARROW SYNDICATE PUBLIC COMPANY,0.062 Billion USD,19925,0.062 Billion USD,19925,Thailand,,,Industries,,,,Thailand,,
STEEL PUBLIC COMPANY,0.054 Billion USD,20388,0.054 Billion USD,20388,Thailand,,,Industries; Metal Fabrication Products,,,,Thailand,,
RHOM BHO PROPERTY PUBLIC COMPANY,0.065 Billion USD,19783,0.065 Billion USD,19783,Thailand,,,Real Estate,,,,Thailand,,
SINGER THAILAND PUBLIC COMPANY,0.347 Billion USD,12997,0.347 Billion USD,12997,Thailand,,https://www.singerthai.co.th/en,Technology; Electronics,,,,Thailand,,
SEA OIL PUBLIC COMPANY,0.049 Billion USD,20734,0.049 Billion USD,20734,Thailand,,,Energy,,,,Thailand,,
INTERHIDES PUBLIC COMPANY,0.070 Billion USD,19481,0.070 Billion USD,19481,Thailand,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
THAIRE LIFE ASSURANCE PUBLIC COMPANY,0.063 Billion USD,19901,0.063 Billion USD,19901,Thailand,,,Financial Services; Insurance,,,,Thailand,,
ALL INSPIRE DEVELOPMENT PUBLIC COMPANY,0.063 Billion USD,19895,0.063 Billion USD,19895,Thailand,,,Real Estate,,,,Thailand,,
KHONBURI SUGAR PUBLIC COMPANY,0.059 Billion USD,20140,0.059 Billion USD,20140,Thailand,,,Consumer Defensive; Sugar; Chocolate & Confectionery,,,,Thailand,,
SRIRACHA CONSTRUCTION PUBLIC COMPANY,0.127 Billion USD,17283,0.127 Billion USD,17283,Thailand,,http://www.sricha.com/,Industries; Construction,,,,Thailand,,
QUALITY CONSTRUCTION PRODUCTS PUBLIC COMPANY,0.064 Billion USD,19830,0.064 Billion USD,19830,Thailand,,,Industries,,,,Thailand,,
INTERLINK COMMUNICATION PUBLIC COMPANY,0.079 Billion USD,19056,0.079 Billion USD,19056,Thailand,,,Technology,,,,Thailand,,
STRATEGIC HOSPITALITY EXTENDABLE FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.037 Billion USD,21589,0.037 Billion USD,21589,Thailand,,,Real Estate,,,,Thailand,,
SAHAMIT MACHINERY PUBLIC COMPANY,0.070 Billion USD,19485,0.070 Billion USD,19485,Thailand,,,Industries; Industry Machinery,,,,Thailand,,
JCK INTERNATIONAL PUBLIC COMPANY,0.089 Billion USD,18642,0.089 Billion USD,18642,Thailand,,https://www.jck.international/en/,Real Estate,,,,Thailand,,
HWA FONG RUBBER (THAILAND) PUBLIC COMPANY,0.108 Billion USD,17884,0.108 Billion USD,17884,Thailand,,http://www.duro.co.th/,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
LEE FEED MILL PUBLIC COMPANY,0.071 Billion USD,19476,0.071 Billion USD,19476,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
DEMCO PUBLIC COMPANY,0.080 Billion USD,19002,0.080 Billion USD,19002,Thailand,,https://www.demco.co.th/en,Industries; Construction,,,,Thailand,,
WHA BUSINESS COMPLEX FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.058 Billion USD,20152,0.058 Billion USD,20152,Thailand,,,Real Estate,,,,Thailand,,
MALEE GROUP PUBLIC COMPANY,0.059 Billion USD,20118,0.059 Billion USD,20118,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
ASIAN PHYTOCEUTICALS PUBLIC COMPANY,0.076 Billion USD,19203,0.076 Billion USD,19203,Thailand,,,Consumer Defensive,,,,Thailand,,
MFC ASSET MANAGEMENT PUBLIC COMPANY,0.061 Billion USD,20014,0.061 Billion USD,20014,Thailand,,,Financial Services,,,,Thailand,,
METRO SYSTEMS CORPORATION PUBLIC COMPANY,0.074 Billion USD,19336,0.074 Billion USD,19336,Thailand,,,Technology,,,,Thailand,,
ALT TELECOM PUBLIC COMPANY,0.127 Billion USD,17287,0.127 Billion USD,17287,Thailand,,https://www.alt.co.th/,Technology,,,,Thailand,,
MODERNFORM GROUP PUBLIC COMPANY,0.075 Billion USD,19276,0.075 Billion USD,19276,Thailand,,,Consumer Cyclical,,,,Thailand,,
ASEFA PUBLIC COMPANY,0.063 Billion USD,19870,0.063 Billion USD,19870,Thailand,,,Industries,,,,Thailand,,
KRUNGDHEP SOPHON PUBLIC COMPANY,0.468 Billion USD,11480,0.468 Billion USD,11480,Thailand,,http://www.kwc.co.th/,Real Estate,,,,Thailand,,
SAHAKOL EQUIPMENT PUBLIC COMPANY,0.065 Billion USD,19773,0.065 Billion USD,19773,Thailand,,,Industries; Construction,,,,Thailand,,
PRINSIRI PUBLIC COMPANY,0.074 Billion USD,19328,0.074 Billion USD,19328,Thailand,,,Real Estate,,,,Thailand,,
EASTERN STAR REAL ESTATE PUBLIC COMPANY,0.070 Billion USD,19510,0.070 Billion USD,19510,Thailand,,,Real Estate,,,,Thailand,,
THANAPIRIYA PUBLIC COMPANY,0.091 Billion USD,18531,0.091 Billion USD,18531,Thailand,,http://www.thanapiriya.co.th/,Consumer Defensive; Retail,,,,Thailand,,
ASIA HOTEL PUBLIC COMPANY,0.052 Billion USD,20525,0.052 Billion USD,20525,Thailand,,,Consumer Cyclical,,,,Thailand,,
SOUTHERN CONCRETE PILE PUBLIC COMPANY,0.059 Billion USD,20137,0.059 Billion USD,20137,Thailand,,,Basic Materials; Construction Materials,,,,Thailand,,
THONBURI MEDICAL CENTRE PUBLIC COMPANY,,26750,,26750,Thailand,,,Healthcare,,,,Thailand,,
SUB SRI THAI PUBLIC COMPANY,0.039 Billion USD,21460,0.039 Billion USD,21460,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
ASIA GREEN ENERGY PUBLIC COMPANY,0.055 Billion USD,20346,0.055 Billion USD,20346,Thailand,,,Energy; Coal Mining,,,,Thailand,,
BAAN ROCK GARDEN PUBLIC COMPANY,0.054 Billion USD,20401,0.054 Billion USD,20401,Thailand,,,Real Estate,,,,Thailand,,
TPBI PUBLIC COMPANY,0.070 Billion USD,19517,0.070 Billion USD,19517,Thailand,,,Consumer Cyclical; Packaging,,,,Thailand,,
AQ ESTATE PUBLIC COMPANY,0.028 Billion USD,22384,0.028 Billion USD,22384,Thailand,,,Real Estate,,,,Thailand,,
COMMUNICATION & SYSTEM SOLUTION PUBLIC COMPANY,0.058 Billion USD,20167,0.058 Billion USD,20167,Thailand,,,Technology,,,,Thailand,,
META CORPORATION PUBLIC COMPANY,0.016 Billion USD,23692,0.016 Billion USD,23692,Thailand,,,Utilities; Electric Utilities,,,,Thailand,,
S. KHONKAEN FOODS PUBLIC COMPANY,0.062 Billion USD,19917,0.062 Billion USD,19917,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
PATO CHEMICAL INDUSTRY PUBLIC COMPANY,0.050 Billion USD,20636,0.050 Billion USD,20636,Thailand,,,Basic Materials; Chemicals,,,,Thailand,,
PHATRA LEASING PUBLIC COMPANY,0.044 Billion USD,21062,0.044 Billion USD,21062,Thailand,,,Industries,,,,Thailand,,
UNITED POWER OF ASIA PUBLIC COMPANY,0.071 Billion USD,19457,0.071 Billion USD,19457,Thailand,,,Utilities,,,,Thailand,,
GRANDE HOSPITALITY REAL ESTATE INVESTMENT TRUST,0.046 Billion USD,20928,0.046 Billion USD,20928,Thailand,,,Real Estate,,,,Thailand,,
MFEC PUBLIC COMPANY,0.071 Billion USD,19473,0.071 Billion USD,19473,Thailand,,,Technology; Software and IT,,,,Thailand,,
TCM CORPORATION PUBLIC COMPANY,0.041 Billion USD,21345,0.041 Billion USD,21345,Thailand,,,Consumer Cyclical; Textile,,,,Thailand,,
AI ENERGY PUBLIC COMPANY,0.134 Billion USD,17071,0.134 Billion USD,17071,Thailand,,https://www.aienergy.co.th/en,Energy; Oil and Gas; Oil and Gas,,,,Thailand,,
IFS CAPITAL (THAILAND) PUBLIC COMPANY,0.041 Billion USD,21338,0.041 Billion USD,21338,Thailand,,,Financial Services,,,,Thailand,,
TEAM CONSULTING ENGINEERING AND MANAGEMENT PUBLIC COMPANY,0.047 Billion USD,20896,0.047 Billion USD,20896,Thailand,,,Industries; Engineering Products; Engineering Services,,,,Thailand,,
THAI POLYCONS PUBLIC COMPANY,0.044 Billion USD,21085,0.044 Billion USD,21085,Thailand,,,Industries; Construction,,,,Thailand,,
TBSP PUBLIC COMPANY,0.085 Billion USD,18778,0.085 Billion USD,18778,Thailand,,https://www.tbsp.co.th/,Industries,,,,Thailand,,
THANTAWAN INDUSTRY PUBLIC COMPANY,0.095 Billion USD,18392,0.095 Billion USD,18392,Thailand,,http://www.thantawan.com/,Consumer Cyclical; Packaging,,,,Thailand,,
WICE LOGISTICS PUBLIC COMPANY,0.106 Billion USD,17980,0.106 Billion USD,17980,Thailand,,http://www.wice.co.th/,Industries; Logistics,,,,Thailand,,
PADAENG INDUSTRY PUBLIC COMPANY,0.061 Billion USD,20026,0.061 Billion USD,20026,Thailand,,,Basic Materials; Electric Utilities,,,,Thailand,,
STARFLEX PUBLIC COMPANY,0.146 Billion USD,16730,0.146 Billion USD,16730,Thailand,,http://www.starflex.co.th/,Consumer Cyclical; Packaging,,,,Thailand,,
CHRISTIANI & NIELSEN (THAI) PUBLIC COMPANY,0.042 Billion USD,21259,0.042 Billion USD,21259,Thailand,,,Industries; Construction,,,,Thailand,,
UOB KAY HIAN SECURITIES (THAILAND) PUBLIC COMPANY,0.063 Billion USD,19899,0.063 Billion USD,19899,Thailand,,,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
THAI MITSUWA PUBLIC COMPANY,0.047 Billion USD,20897,0.047 Billion USD,20897,Thailand,,,Basic Materials,,,,Thailand,,
MFC INDUSTRIAL INVESTMENT P&L FUND,0.041 Billion USD,21281,0.041 Billion USD,21281,Thailand,,,Real Estate,,,,Thailand,,
KPN PROPERTY FUND,0.043 Billion USD,21130,0.043 Billion USD,21130,Thailand,,,Real Estate,,,,Thailand,,
YUASA BATTERY (THAILAND) PUBLIC COMPANY,0.053 Billion USD,20494,0.053 Billion USD,20494,Thailand,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
INFRASET PUBLIC COMPANY,0.065 Billion USD,19765,0.065 Billion USD,19765,Thailand,,,Communication Services; Software and IT,,,,Thailand,,
OCEAN COMMERCE PUBLIC COMPANY,0.039 Billion USD,21454,0.039 Billion USD,21454,Thailand,,,Industries,,,,Thailand,,
QTC ENERGY PUBLIC COMPANY,0.045 Billion USD,21006,0.045 Billion USD,21006,Thailand,,,Industries,,,,Thailand,,
