id,title,channel,description,skills,jobs
Peivv-Jx0w8,Financial Statement Analysis part 2,Learn accounting,This video is part of Financial and Management Accounting (Code ACC466) taught in Uitm. This video covers  Financial Statement  ...,Brand Management; Financial Statement; Financial Statement Analysis; Management Accounting,Accounting/Finance
WFehFMaCmgo,MYOB Dashboard,MYOB,The  Dashboard  gives you an easy-to-understand visual summary of how your business is tracking. View your monthly sales and ...,Dashboard; Sales,Sales
rksQ4vL-ir4,Financial Statement Analysis part 1,Learn accounting,This video is part of Financial and Management Accounting (Code ACC466) taught in Uitm. This video covers  Financial Statement  ...,Brand Management; Financial Statement; Financial Statement Analysis; Management Accounting,Accounting/Finance
-aGhlzmhb1w,Excel Sales Performance Metrics Dashboard | Tutorial #1,Other Level’s,"To get our templates and datasets, visit our online store: www.other-levels.com If the PayPal payment method is not valid in your ...",Dashboard; Dataset; Microsoft Excel; Sales; Template,Sales
5fj0dSUy1wk,Talend ETL Training Session 2 File processing,Oracle PLSQL&Talend ETL,"Talend training session 2 File reading,File generation,File data processing.",Extract Transform Load (ETL); Processing; Talend; Training,Training
665rbpn8y_U,MATLAB Coding Guidelines - part 5 | Learn MATLAB Programming | Become an Embedded Engineer | Uplatz,Uplatz,"Welcome to Uplatz! Uplatz is a leading organization providing Management Consulting, IT Training, Virtual employees, and ...",Coding; Information Technology (IT); MATLAB; Management Consulting; Programming; Training,Training
AweZ7MnSB1Q,006 Visualization Timeline Slide in PowerPoint English,Elite Presenters,This channel contents are subjected to Microsoft PowerPoint training videos.  Learn  and up-skill yourself to became master in ...,English; Microsoft PowerPoint; Training; Visualization,Training
BWpYcJW6wFU,Webinar: Demystifying Machine Learning for Marketers,Seer Interactive,"You know that Analytics is an important part of modern marketing, but how do you put your data into action? In this webinar, we'll ...",Machine Learning; Marketing,Marketing
EhsnCgi5tfI,009 Visualization Timeline Slide in PowerPoint English,Elite Presenters,This channel contents are subjected to Microsoft PowerPoint training videos.  Learn  and up-skill yourself to became master in ...,English; Microsoft PowerPoint; Training; Visualization,Training
IlSfKhDFGcg,16 Infographics Visualization   Balloon Chart in English,Elite Presenters,This channel contents are subjected to Microsoft PowerPoint training videos.  Learn  and up-skill yourself to became master in ...,Chart; English; Infographics; Microsoft PowerPoint; Training; Visualization,Training
KBvAoTVBmP0,Chess Visualization | Training Ideas,My Chess Notebook,"We feel that our  visualization  skills suck for our rating. So, we plan to do something about it. Can one really improve one's ...",Rally; Training; Visualization,Training
L0tX8SLk4FA,Training on “Data Analysis Using Gretl” Software by Dr Hamad Raza Zadi,CONNECTING ASIA TV,This workshop was conducted at ASIA International Conference 2021 (AIC-2021). Training on “Data  Analysis  Using Gretl” ...,Data Analysis; Training,Training
LMGLT-Icxs4,Spring Boot tutorials | Spring Data JPA -  CRUD operations with MongoDB using spring-data,Shristi Tech Academy,"In this video, let us  learn  to integrate spring boot application with the  MongoDB  database using spring boot . We will  learn  to ...",Database; MongoDB; Spring Boot,Manufacturing/Operations
N8RUxBPBf6M,SELinux User and Role Security,The SkillPedia,SELinux User and Role Security Visit www.theskillpedia.com for Online Training on this technology.,Security; Training,Training
NeOpjWIBOAQ,"8 Key skills for building Tableau Bar Chart for Beginners, create attractive chart Tableau Desktop",Data Ops,"... tutorial,tableau training,tableau basics,tableau tutorial 2020,tableau software (venture funded company), learn tableau ,bar ...",Bar Chart; Tableau; Training,Training
OZ709g7yGDU,Database Management System Term 2 Information Technology Class 10 | IT 402 Term 2 Exam DBMS,Teachy Point,Please Like And Subscribe My Channel ! About the video : In this video we have explained  Database Management System  Term ...,Database Management System (DBMS); Information Technology (IT); SystemC,Information Technology
QxiUc1YasYQ,Talend ETL Training Session 3 on Joins using files,Oracle PLSQL&Talend ETL,Types of joins & implementation of joins in Talend.,Extract Transform Load (ETL); Talend; Training,Training
U6KrGo0dT3k,Fundamentals of Open Source IT and Cloud Computing Training from The Linux Foundation,The Linux Foundation,The intent of this course is to take you on a journey from little or no knowledge of IT topics to the knowledge needed to ...,Cloud Computing; Information Technology (IT); Linux; Training,Training
VL2KNkvICDI,MATLAB Coding Guidelines - part 6 | Learn MATLAB Programming | Become an Embedded Engineer | Uplatz,Uplatz,"Welcome to Uplatz! Uplatz is a leading organization providing Management Consulting, IT Training, Virtual employees, and ...",Coding; Information Technology (IT); MATLAB; Management Consulting; Programming; Training,Training
VZ6GTXI3g_8,A/B testing FRAMEN Ads | FRAMEN Academy,FRAMEN,Hi there! In this video let's talk about how  A/B test  your content with FRAMEN! FRAMEN is the all new digital marketing channel in ...,A/B Testing; Digital Marketing; Marketing Channel; TestNG,Marketing
Wp8J3XAkk2o,Project Dashboard | Design to Inspire | Power BI Report Tutorial,Ariel Lomoctos,"Power BI Report | Design to Inspire | Project Management  Dashboard  In this video, I'm giving a full tutorial on how to build a report ...",Business Intelligence (BI); Dashboard; Design; Microsoft Power BI; Project Management,Project/Program Management
Wr9D_gAMOjM,C# to mongoDB : CRUD operations,codepickles,In this video we introduce  MongoDB  and we make a demonstration to connect C# to a  MongoDB  database.  MongoDB  is the ...,C#; Database; MongoDB,Manufacturing/Operations
XpgUkTMKwAA,Expert Marketing Advice: Always Split Test,Manuel Suarez,"Split testing . So, as I always say, ""Always be  split testing !"" There is no better way to get a deeper understanding of your audience ...",Marketing; TestNG; Testing,Marketing
Z_UmqumjtXI,Tutorial: Financial Statement Analysis  (part 1 of 7),Farhat's Accounting Lectures,"IN this session, we discuss  financial statement  analysis. Are you a CPA candidate or accounting student? Check my website for ...",Accounting; Financial Statement; Financial Statement Analysis,Accounting/Finance
_1c0nr1s_bg,20 Infographics Visualization  Half Radial Chart in English,Elite Presenters,This channel contents are subjected to Microsoft PowerPoint training videos.  Learn  and up-skill yourself to became master in ...,Chart; English; Infographics; Microsoft PowerPoint; Training; Visualization,Training
_aValJPbk9M,Cloud Architect Training | Cloud Architect Certification Is Not Enough To Get Hired,Go Cloud Architects,Focusing on the right cloud architect required skills is important for your  cloud computing  job training to get cloud hired.,Cloud Architecture; Cloud Computing; Training,Training
cl0UrjiaMgA,005 Visualization Timeline Slide Content English,Elite Presenters,This channel contents are subjected to Microsoft PowerPoint training videos.  Learn  and up-skill yourself to became master in ...,English; Microsoft PowerPoint; Training; Visualization,Training
faku_-2nSic,Learn C++ - Math Operations,The Amateur Programmer,"Beginner friendly  C++  tutorial! In this video, we'll go over the main math operations used in programming. You'll  learn  to add, ...",C++; Golang; Programming,Manufacturing/Operations
ivBXkH0PlWA,MATLAB Coding Guidelines - part 3 | Learn MATLAB Programming | Become an Embedded Engineer | Uplatz,Uplatz,"Welcome to Uplatz! Uplatz is a leading organization providing Management Consulting, IT Training, Virtual employees, and ...",Coding; Information Technology (IT); MATLAB; Management Consulting; Programming; Training,Training
kPX_QC-gb-s,MATLAB Coding Guidelines - part 4 | Learn MATLAB Programming | Become an Embedded Engineer | Uplatz,Uplatz,"Welcome to Uplatz! Uplatz is a leading organization providing Management Consulting, IT Training, Virtual employees, and ...",Coding; Information Technology (IT); MATLAB; Management Consulting; Programming; Training,Training
l41JODN5tkE,What Is Power BI ? || Microsoft Power BI in Just 07 Minutes || Power BI Training,Excel Mantra with D.D,I will teach you very highly techniques in excel which will save your time while doing work in excel And teach you automation in ...,Automation; Business Intelligence (BI); Microsoft Excel; Microsoft Power BI; Training,Training
qd29QukZSro,"Relational DBs, Oracle, and SQL  What is Structured Query Language SQL    Oracle Database SQL Certif",African Digital University,"Oracle Database  SQL  Certified Associate (1Z0-071) Bookmark course In this entry-level Oracle Database Associate training, Ben ...",Database; Oracle Databases; Sentry; Structured Query Language (SQL); Training; jQuery,Training
rEL89bkJgFk,008 Visualization Timeline Slide in PowerPoint English,Elite Presenters,This channel contents are subjected to Microsoft PowerPoint training videos.  Learn  and up-skill yourself to became master in ...,English; Microsoft PowerPoint; Training; Visualization,Training
rd_U2B_KuKA,Scale Data for Machine Learning,APMonitor.com,Scaling (inputs and outputs) can improve the training process for machine  learning . A common scaling technique is to divide by ...,Machine Learning; Training,Training
s0-7AKEscB4,Talend ETL Training Session 5 Database operations,Oracle PLSQL&Talend ETL,Database connection data  extraction  from database data  loading  in database data manipulation in database and etc tPreJob ...,Data Manipulation; Database; Extract Transform Load (ETL); Operational Databases; Talend; Training,Manufacturing/Operations; Training
sLLD4Iuz3Yc,Professional Accounting Tutorial | What is Financial Statements (part 03),TalentCare21,Professional Accounting Tutorial | What is  Financial Statements  (part 03) Are you interested to  learn  about  Financial Statements ?,Accounting; Financial Statement,Accounting/Finance
v6_K1DUwc50,Programming Essentials Python - Database Operations - Overview of SQL,itversity,SQL  stands for  Structured Query Language  and it is broadly categorized into following- DDL - Data Definition Language 1.,Data Definition Language (DDL); Database; Programming; Python; Structured Query Language (SQL); jQuery,Manufacturing/Operations
wM0MG7JyuB8,"What's new in B2B Saas Email Marketing | Actionable strategies, AB tests, CTAs you shouldn't miss",All About B2B Marketing,... 12:12 Best email marketing strategies 15:37 Which team handles email communications 16:43 Best email  A/B tests  19:57 Email ...,Communication; Email Marketing,Marketing; Corporate Affairs/Communications
xL8Cd9bVQnk,YOLOv5: Learn the Simplest Object Detection library. Get Automatic Training Progress Visualizations!,Ayush Chaurasia,Chapters: 0:00 Overview 0:45 Intro to YOLOv5 2:25 Setup 4:10 Training your first model! 5:35 Track your training progress on ...,Object Detection; Training; Visualization,Training
6xPkKqRXfpg,Basics of Accounting - Learn the FUNDAMENTAL PRINCPLES of Financial Accounting!,Wisdify,"Be sure to check out Wisdify.com for the best accounting,  finance , and data analytics training on the internet. All courses qualify for ...",Data Analytics; Finance; Financial Accounting; Internet; Training,Training; Accounting/Finance
9sAuWvO2Olk,How to Perform Arithmetic operations on Matrices | Learn R Language | Learn R Language Fundamentals,Corio Wood,"Learn R  Language, how to perform arithmetic operations on R Matrices.",Arithmetic; Language Learning; R,Manufacturing/Operations
zLgCTJp-E18,Be Future Ready | Day 4 | Cloud Computing Full Course | Cloud Fundamentals | Simplilearn,Simplilearn,#GoogleCloudPlatformTutorial #GoogleCloudPlatoformFullCourse #GoogleCloudTraining ...,Cloud Computing,Training
7VHaE8mqSHY,Java Learning Path  | How to learn Java Programming in 2020 | Java Training | Edureka Rewind - 3,edureka!,"Edureka  Java , J2EE & SOA Certification Training - https://www.edureka.co/ java -j2ee-training-course This Edureka video on  Java  ...",Java; Programming; Training,Training
-UBfPsUYoS4,Pymongo: Learn how to integrate mongoDB with Python - Complete CRUD operations tutorial,Rafael Queiroz Gonçalves,English subtitles are available! You can enable that using video controls. The subtitle has been careful reviewed to provide you a ...,English; MongoDB; Python,Manufacturing/Operations
1-1nBKHpAhI,Learn any programming language for free with this amazing site,Python Programmer,"(These contain affiliate links, which means I receive a percentage of any sales made. There is no additional cost for anybody ...",Links; Programming Language Theory; Sales,Sales
2F4n9R2IZPE,Data Basics: Cleaning Data with Python and R (Session 7),Salt City Data Community,Recording of virtual session from our  Data  Basics training arc where we focus on  cleaning data  in python and R. Presented by ...,Python; R; Training,Training
5WysxAYDH1k,AWS Summit ANZ 2021 - A/B testing machine learning models with Amazon SageMaker MLOps,AWS Events,Machine  learning  operations (MLOps) enable developers and scientists to improve their models for various reasons such as ...,A/B Testing; Amazon Web Service (AWS); MLOps; Machine Learning; TestNG,Manufacturing/Operations
9CjR6doB70A,New Advanced EXCEL DASHBOARD (part-1) Create Better Sales Performance Dashboard in EXCEL,Data with Decision,"Follow up on this video to get more Advanced in Excel  Dashboard  creation from the scratch. In this video, we used both Power ...",Creatio; Dashboard; Microsoft Excel; Sales; Scratch,Sales
AFY3z4FwRg0,SQL Querying for Beginners Tutorial,Learnit Training,SQL  Querying for Beginners Tutorial Join Learnit Anytime for ad-free training and certificates: https://www.learnitanytime.com ...,Structured Query Language (SQL); Training,Training
C0XhJTtVS4c,Salesforce Dashboards,Salesforce Atlas,salesforce #salesforceadmin # dashboards  Watch this episode to  learn  about Salesforce  dashboards . Topics covered: ...,Dashboard; Salesforce,Sales
EFoOvzUfOow,"Complete Roadmap to Machine Learning, Supervised Learning, Unsupervised Learning Algorithms",Python Code Buddy,What is  Machine Learning  ? Factors and Target Training and prediction What is  Supervised  Learning ? Regression and ...,Algorithm; Machine Learning; Regression; Supervised Learning; Training; Unsupervised Learning,Training
G062IH8-rxI,Git and GitHub Essentials Course Launch,Norbert BM Web Development,"Hi, I am extremely happy to announce that my brand new course "" Essential Git &  GitHub  - Project Management & Version control ...",Git; Github; Project Management; Version Control,Project/Program Management
KJaAf6Vr2Fs,Microsoft POWER BI Training Program 2022 - Live Online Classes | Business Intelligence | Analytics,Excel Basement,Email: excelbasement@gmail.com WhatsApp: +923323339235  Microsoft POWER BI Training  Program 2022 - Live Online ...,Business Intelligence (BI); Email; Microsoft Power BI; Training,Training
LokzUBlWT-4,What is Nosql ?-Real time Training,Amjat's Tech Talk,what is  Nosql  and why it is needed.,NoSQL; Training,Training
MrAsB4Ub0Jw,AH-64 Apache Pilots Learn to Fly,Boeing,"AH-64 # Apache  pilots use our Longbow Crew Trainers to review flight operations, instruments and weapons delivery. The training ...",Apache; Training,Manufacturing/Operations; Training
NFvxRYOZaQI,"I’ve run 8,304 growth marketing experiments. Here’s what I learned // How to run growth experiments",Elena Bezborodova,Want a personalized consultation on your marketing career? Drop me an email: len.bezborodova@gmail.com Book a ...,Email; Marketing,Marketing
O-oQNL9gcFg,#1 How to pass Exam DP-100 Azure Data Scientist Associate in 19 hours | Part 01 Machine Learning,E Learning Free Channel,Azure #Training # Learning  #Free #1 How to pass Exam DP-100 Microsoft Azure  Data  Scientist Associate in 19 hours | Part 01 ...,Machine Learning; Microsoft Azure; Training,Training
S6oue3MzXag,Dashboard UNLOCKED -  learn about the features of this website,Marketing Broker Australia,"In this video, Luke provides step by step instructions on how to join the Marketing Broker Australia directory website AND create a ...",Dashboard; Marketing,Marketing
TY2WIf2aEFg,New Advanced EXCEL DASHBOARD (part-2) Create Better Sales Performance Dashboard in EXCEL,Data with Decision,"Follow up on this video to get more Advanced in Excel  Dashboard  creation from the scratch. In this video, we used both Power ...",Creatio; Dashboard; Microsoft Excel; Sales; Scratch,Sales
WURcwXrl7Vg,Split Test Monkey Demo Video #1,Matt Garrett,"Stop Wasting Traffic, Stop Losing Subscribers, Stop Losing Sales, Start Testing Today... Use SplitTestMonkey.com and  Split Test  ...",Closing; Sales; TestNG; Testing,Sales
XU1S5bxmGY0,Talend ETL Tool Tutorial For Beginners & Advanced| Real Time Online Training| Venkat| +91-9538160185,Talend By Venkat,"Hi All, I am providing Talend Data Integration  ETL  Tool Real Time Online Training Classes . If any one interested to  learn  ,please ...",Extract Transform Load (ETL); Talend; Training,Training
_84S4AUAVRs,#16 - Classification of Machine Learning |  | Machine Learning Tutorial | Machine Training |Skillari,Skillari Machine Learning and AI,"At Skillari, We believe that  Learning  is not Limited to Only Certificates this is the reason why we have released all of the courses ...",Classification; Machine Learning; Training,Training
bDlnrf9Er5E,[QUANTS@DEV] Reinforcement Learning in Finance 01,Yves Hilpisch,The first quants@dev Webinar about  Reinforcement Learning  in Finance. Join the Discord server via ...,Finance; Reinforcement Learning,Accounting/Finance
bTuEfPgq7Fw,Time Series | Advanced Data Analytics using Python and Python Automation | ZaranTech,ZaranTech,In this video you will  learn Time Series  as a part of Advanced Data Analytics using Python and Python Automation training. For ...,Automation; Data Analytics; Python; Time Series; Training,Training
fP39FMQr_lU,LSTM network in MATLAB | Deep Learning | MATLAB Helper,MATLAB Helper ®,00:00 Introduction 00:38 About LSTM network 01:00 Loading of data 01:15 Time series analysis 03:48 Training of network #Deep ...,Deep Learning; Long Short-Term Memory (LSTM); MATLAB; Network; Time Series Analysis; Training,Training
hrInQodiu7g,Big Data Hadoop Training For Beginners - Day1,Ragunathan Ramanujam - Data Analytics For Everyone,This Chapter Includes Data warehouse Design & Limitations with the real time Data and How  Hadoop  is evolved to process large ...,Apache Hadoop; Big Data; Data Warehouse; Design; Training,Training
jPfoVf_OGMc,Financial Statement Flows (Understand Linkages between Financial Statements) - A Must Watch Tutorial,IEFT Online,Do you understand Accounting? Do you understand key  financial statement  flows? Do you want to  learn  how transactions ...,Accounting; Financial Statement,Accounting/Finance
k1U9EgKYjsI,Designing a Query in MongoDB,Prof. Keehyung Kim,"This lecture is part of the course ""Database and Big Data Management"", covering how to design a query (i.e., read operations via ...",Big Data; Data Management; Database; Design; MongoDB; jQuery,Manufacturing/Operations
lEGxEVR2Jgg,Artificial Intelligence Career Roadmap in 2022 | Learn AI | Artificial Intelligence Careers,Intellipaat,#ArtificialIntelligenceCareerRoadmapIn2022 #LearnAI #ArtificialIntelligenceCareers #AITutorial #AITraining ...,Artificial Intelligence (AI),Training
m1a_FUK_NRo,Plain Talk about Financial Statements,SBCTV at A-B TECH,"No matter how big or small your business is, whether you do your own bookkeeping or you have an entire accounting team, there ...",Accounting; Bookkeeping; Financial Statement,Accounting/Finance
owfgjhzhpoY,"You Ask, I Answer: Marketing Data Preparation Pain Points?",Christopher Penn,"Naomi asks, ""What is the biggest pain point for you in marketing  data preparation ?"" Subscribe to my weekly #email newsletter: ...",Data Preparation; Email; Marketing; Newsletters,Marketing
prHNchaoj3g,Tableau Full Course | Tableau For Beginners | Tableau Training Videos | Intellipaat,Intellipaat,Lifetime free Course Upgrade ------------------------------ Who should watch this Tableau tutorial? If you want to  learn Tableau  to ...,Tableau; Training,Training
q1sc1uqhCl4,Finance simplified    Financial Statements,Corporate Chakravyuh,This Video is a refresher on  Financial statements  as part of Finance Simplified series and will be a useful reference for all Finance ...,Finance; Financial Statement,Accounting/Finance
u3TfIXFosMo,How to audit financial statements | FloQast,FloQast,0:00 Introduction 0:20 What are Audited  Financial Statements ? 1:44 Top  Financial statements  to audit 2:25 How do auditors verify ...,Audit; Financial Statement,Audit and Financial/Business Controls
wTXem0vg0Ak,Learn SQL the right way - Session 2 | Trendytech,Trendytech Insights,Learn SQL  the right way MySQL is the world's most popular open source database. TABLE OF CONTENT 1:20 CRUD Operations ...,Database; MySQL; Structured Query Language (SQL); Table,Manufacturing/Operations
w_3mQmmoaOk,Power BI With ADF Online Training From Beginner to Pro Recorded Demo Session By Visualpath,Visualpath,"In this step-by-step  tutorial  video,  learn  how to get started using  Microsoft Power BI .  Power BI  allows you to get insight from your ...",Business Intelligence (BI); Microsoft Power BI; Training,Training
xyPq9bsMHoQ,Data Preparation for training and testing Deep Learning models - Approach 1,Prabhjot Gosal,"In this video, we  learn  how to  prepare data  for feeding into machine  learning  or deep  learning  models for training/testing.",Data Preparation; Deep Learning; Machine Learning; TestNG; Testing; Training,Training
0U34NGzb1F4,A/b Testing Tutorial for Amazon - What is Ab Testing?,Twinkle G.,Curious what is  ab testing  on amazon and how you can increase your sales as a result? Watch now for an increase in sales and ...,A/B Testing; QA Testing; Sales; TestNG,Sales
23rClDroHm0,Signal Processing with MATLAB Online Course Overview,MATLAB,"Learn  about Signal Processing with  MATLAB , a self-paced online course providing comprehensive hands-on training in ...",MATLAB; Signal Processing; Training,Training
AwdUj5TJ3SM,Learn how to A/B test your way to more conversions,Zoho PageSense,"Your website is the face of your business and should be constantly evolving, just like your marketing strategy. An effective website ...",Marketing,Marketing
IxRlNH2CXa4,Why you Shouldn't Learn JavaScript in 2022,Stefan Mischook,************* Join our Discord: https://discord.gg/qMJfVG5VhB WEB HOST PAYS FOR YOUR WEB DESIGN TRAINING IN 2021:a ...,JavaScript; Training; Web Design,Training
JGU2QdNCs2w,Tableau Training with Andy Kriebel,Andy Kriebel,Check out this recent free  Tableau  training that we ran as part of our roll out of Data School New York. This fundamentals training ...,Tableau; Training,Training
KGgoSHNLZqo,"#DevOps_training - Version Control System - Learn Git, GitHub",CloudTechy,"devops #git #git_hub #version_control_system #DevOps_training - Version Control System -  Learn  Git,  GitHub  This video ...",DevOps; Git; Github; SystemC; Version Control System,Training
W7Jd7IfzNJI,Tableau Training with Ann Jackson,Andy Kriebel,Free  Tableau  training from Data School New York Head Coach and  Tableau  Zen Master Ann Jackson. Ann is an incredible ...,Tableau; Training,Training
hS8-ihtp15I,Hadoop Training | Hadoop Online Certification Course | What Is Hadoop? - MindMajix,MindMajix,This MindMajix video on  Hadoop  Online Training for both freshers and experienced will help you to gain in-depth knowledge of all ...,Apache Hadoop; Training,Training
lhZqgAj6RTM,"Facebook Remarketing Campaign Creation, AB Testing ( Evening Batch TTS ) 01/02/2022",Institute Of Digital Studies,"Start by setting up an ad to  test  against the one you selected You can make a copy of your ad ond edt, or you can pick a ...",A/B Testing; Creatio; Facebook; Marketing; QA Testing; TestNG,Marketing
uXcSplWip04,Graph Operations - Graph Theory - GATE Discrete Mathematics,Ekeeda GATE & ESE,Subject - GATE Discrete Mathematics Video Name - Graph Operations Chapter -  Graph Theory  Faculty - Prof. Krishan Dev Watch ...,Discrete Mathematics; Graph Theory,Manufacturing/Operations
4aavLwgjC48,Is it Late to Learn Cloud Computing? Find out,BestDotNetTraining,#deccansoft #bestdotnettraining #Sandeepsoni Connect with me Call Sandeep Soni for Career Guidance ▻ +91 98490 ...,Cloud Computing,Training
7nY5PB32qQ8,Data Preparation | Data Science Master Training | ZaranTech,ZaranTech,"In this video, you will  learn  about  Data Preparation  as a part of Data Science Master Training. Python in Data Science. For ...",Data Preparation; Data Science; Python; Training,Training
9S1x-liJRDk,Tableau Training for Beginners 2022 | Tableau Tutorial | Tableau Full Course 2022 Part 1,Pavan Lalwani,"The best part of this tableau full course is, you can  learn tableau  without coding and you can learn the complete tableau course ...",Coding; Tableau; Training,Training
BGNiyRqoMC8,What Is Hadoop  | Hadoop Tutorial For Beginners |  Hadoop | Hadoop Training | Edureka  Rewind - 4,edureka!,--------------------Edureka  Big Data  Training and Certifications------------------------ Edureka  Hadoop  Training: http://bit.ly/2YBlw29 ...,Apache Hadoop; Big Data; Training,Training
JzcdXc3GdUo,Linear regression | Data Science Master Training | ZaranTech,ZaranTech,"In this video, you will learn about  Linear Regression  as a part of Data Science Master Training.  Linear Regression  in Data ...",Data Science; Linear Regression; Nonlinear Regression; Regression; Training,Training
g0fLasuW7tg,ETL Informatica Training,Intuites LLC,,Extract Transform Load (ETL); Informatics; Training,Training
LBgBjA6t2iM,ETL Informatica Training,Intuites LLC,,Extract Transform Load (ETL); Informatics; Training,Training
NbCM6Lb3OeU,Mobera Mobile Marketing Show - AB Testing & Performance Optimization,Mobera Academy - Learn Mobile App Marketing,"This week on Mobera Mobile Marketing Show, we speak with Tarek Lel. Tarek is a data analyst at Farfetch with more than 7 years ...",A/B Testing; Mobile Marketing; Optimization; QA Testing; TestNG,Marketing
TWn_PkQF8pU,ETL TESTING REAL TIME -15|| For Beginners|| #ETLTESTING,Kiran Reddy,"ETL  TESTING REAL-TIME Training for beginners from basics. All  ETL /DWH concepts covered, beginners to advanced level.",Extract Transform Load (ETL); TestNG; Testing; Training,Training
TqGwTwYWSIQ,ETL Informatica Training,Intuites LLC,,Extract Transform Load (ETL); Informatics; Training,Training
V-lgTC_6CrU,UK Enterprise Sales at MongoDB,MongoDB,Our UK Enterprise Sales team is growing! Meet members of the team to  learn  more about why  MongoDB  is a great place to ...,MongoDB; Sales,Sales
VydvBybNi5M,Financial  Accounting - Financial  Statement  Of a  Sole Proprietorship -  Shs 1,Joy Learning Tv,Financial Accounting -  Financial Statement  Of a Sole Proprietorship - Shs 1 #joylearning #shs hour #sole proprietorship #financial ...,Financial Accounting; Financial Statement,Accounting/Finance
WSL49jp9At4,"AI/Machine Learning: Regulation, Development, and Real-World Performance Evaluation",Duke Margolis,This webinar spotlights the updates and progress since the January 2021 release of U.S. Food and Drug Administration's Center ...,Administration; Artificial Intelligence (AI); Machine Learning,General Management and Administration
WrG0FAIfI7o,Excel Balance Sheet Example Financial Statement - Accounting ERP Financial Reporting,FutureView Systems,"In this tutorial, we utilize data from an Accounting ERP System, like Quickbooks Online and Netsuite, to create an example ...",Accounting; Balance Sheet; Enterprise Resource Planning (ERP); Financial Statement; Microsoft Excel; Quickbooks; Reporting; SystemC,Accounting/Finance
XklBb3cryvI,Big Data Hadoop And Spark Developer | Big Data Hadoop | Hadoop Tutorial,Sprintzeal,Welcome to Sprintzeal's  Big Data Hadoop  and Spark Developer training sessions. CH-1 Vid-09 For details on  Big Data Hadoop  ...,Apache Hadoop; Apache Spark; Big Data; Training,Training
YfSFGYiQ4kA,D365 F&O: Financial Reporting,Mane Services,https://docs.microsoft.com/en-us/dynamics365/finance/general-ledger/ financial - reporting -getting-started.,Finance; Microsoft; Reporting,Accounting/Finance
Z_BJs9jyvuc,How to setup A/B Testing in Facebook Ads | AB Test in Facebook Ads | FB Ads Course | #85,Umar Tazkeer ,"Note: This channel is for ""EVERYONE"" who wants to  learn  ""Complete Digital Marketing"" ...",A/B Testing; Digital Marketing; Facebook Ads; TestNG,Marketing
Zb7ogVfxKU8,ETL TESTING REAL TIME -6|| For Beginners|| #ETLTESTING,Kiran Reddy,"ETL  TESTING REAL-TIME Training for beginners from basics. All  ETL /DWH concepts covered, beginners to advanced level.",Extract Transform Load (ETL); TestNG; Testing; Training,Training
ZhsZeO9PBVk,Logistic Regression | Data Science Master Training | ZaranTech,ZaranTech,"In this video, you will  learn  about Logistic  Regression  as a part of Data Science Master Training. Logistic  Regression  in Data ...",Data Science; Logistic Regression; Logistics; Regression; Training,Training
a5ZiiKUQBa4,Financial Accounting- Preparation of Financial Statements,The Accounting Coach,Financial statements  Statement of financial position Statement of Comprehensive  Income Statement  of changes in equity ...,Equity; Financial Accounting; Financial Statement; Income Statement,Accounting/Finance
aRaZtD6VzeU,A/B testing and other tips for improving your email marketing,BD Roundtable,We covered how A/B  split testing  can lead to more engaging content and other easy methods you can use in your next campaign.,A/B Testing; Email Marketing; TestNG,Marketing
akuL9dlby1s,Learn How To Create a Dashboard That Shows Marketing’s Value,VisionEdge Marketing,What's your next step? Find out if your performance measurement  dashboard  measures up: ...,Dashboard; Marketing,Marketing
b_HldPQdKMo,Spark Full Live Training Session,My Schooling,"Hello Friends, In this video you will  learn  about  Spark . This video contains full training about  Spark  concept. • What is  Spark ?",Apache Spark; Training,Training
ck7AfaZbE8o,ETL Informatica Training,Intuites LLC,This is a very good website if you want uh to  learn  oracle okay java point so go through all this stuff like anyways i will tell you ...,Extract Transform Load (ETL); Golang; Informatics; Java; Oracle; Training,Training
eHSJA_lej4c,"Hands-on time series analysis, open source, R, MLOps, Rami Krispin - The Data Scientist Show #029",The Data Scientist Show - Daliana Liu,Rami leads the data science and engineering team at Apple Finance Decision Support. He is also an open-source contributor and ...,Data Science; Engineering; Finance; MLOps; R; Time Series Analysis,Accounting/Finance
ehS-kvhn9WM,Manufacturing Financial Statements,Accounting Courses by Dr. John Daniel McLellan,This lecture is on the  financial statements  of a manufacturer.,Financial Statement; Manufacturing,Manufacturing/Operations
fjmiZpQ5yAA,Learn how to create a mic-drop presentation,Wade Randolph,Interview With D & D Training and Coaching Solutions. The World renowned speaker Les Brown call them some of the best ...,Coaching; Presentation; Training,Training
hCYhGbMaNzU,Learn Microsoft Excel Expert - 3 days online | Excel tutorial  Koenig Solutions,Koenig Solutions,Microsoft  # Excel  Do you prefer Live Online Training but don't have Time or Money for it? Do you want to start Immediately?,Microsoft Excel; Training,Training
jLejJrNPF5A,Cloudera Hadoop Administration Introduction,cfamilycomputers,Cloudera  Hadoop  Administration Introduction By Akkem Sreenivasulu – Founder of CFAMILY IT Solutions eMail: ...,Administration; Apache Hadoop; Cloudera; Email; Information Technology (IT),General Management and Administration
